"Time [ms]","InducedVoltage(PhaseA) [V]"
64.2000000000078,0.750743261873632
64.2100000000078,0.0240510632298907
64.2200000000078,-0.689651130703073
64.2300000000078,-1.44163545719445
64.2400000000078,-2.22574643194418
64.2500000000078,-2.87546702378294
64.2600000000078,-3.46336262035951
64.2700000000078,-4.15660590374345
64.2800000000078,-5.03088703707189
64.2900000000078,-5.96249970850615
64.3000000000078,-6.75210231377288
64.3100000000078,-7.57222773900557
64.3200000000078,-8.36543537894308
64.3300000000078,-9.15659412565328
64.3400000000078,-10.0931628839285
64.3500000000077,-11.1461503975341
64.3600000000077,-12.0458369337273
64.3700000000077,-12.8497448440845
64.3800000000077,-13.6419831629209
64.3900000000077,-14.5267452910547
64.4000000000077,-15.5561214365663
64.4100000000077,-16.5178781418973
64.4200000000077,-17.3915289238546
64.4300000000077,-18.1870128446282
64.4400000000077,-19.1358119771501
64.4500000000077,-20.2221808661862
64.4600000000077,-21.3813398129536
64.4700000000077,-22.6106231116963
64.4800000000077,-23.8479445321793
64.4900000000077,-24.0714248810392
64.5000000000077,-24.7142203476436
64.5100000000077,-26.0725416637797
64.5200000000077,-27.3339038687148
64.5300000000077,-28.4165136032577
64.5400000000077,-29.2112676179068
64.5500000000077,-30.0280975183476
64.5600000000077,-30.9559758750522
64.5700000000077,-31.9555182549114
64.5800000000077,-33.0270287430046
64.5900000000077,-34.1474970316058
64.6000000000077,-35.2319248395017
64.6100000000076,-36.3040555840965
64.6200000000076,-37.3941699887303
64.6300000000076,-38.5228185537045
64.6400000000076,-39.6127297966065
64.6500000000076,-40.9249712946369
64.6600000000076,-42.3315810380576
64.6700000000076,-43.7209855548459
64.6800000000076,-45.0662475070529
64.6900000000076,-46.0928478362377
64.7000000000076,-47.3719860506649
64.7100000000076,-48.7295304464064
64.7200000000076,-50.0168658655098
64.7300000000076,-51.203979893566
64.7400000000076,-52.1354438093202
64.7500000000076,-53.2835995608494
64.7600000000076,-54.5431491549286
64.7700000000076,-55.8147817625865
64.7800000000076,-57.0897549443783
64.7900000000076,-58.2704907299947
64.8000000000076,-59.4868213197208
64.8100000000076,-60.7052389981544
64.8200000000076,-61.9517633698163
64.8300000000076,-63.2051060055316
64.8400000000076,-64.4526013141966
64.8500000000076,-65.7674994952839
64.8600000000076,-67.0999245255432
64.8700000000075,-68.3875703709424
64.8800000000075,-69.6058837663882
64.8900000000075,-70.4487711389701
64.9000000000075,-71.6490489631905
64.9100000000075,-72.9448651329789
64.9200000000075,-74.2408229895852
64.9300000000075,-75.5039983052874
64.9400000000075,-76.6595079690957
64.9500000000075,-77.8984361065715
64.9600000000075,-79.2013070634451
64.9700000000075,-80.5163637936063
64.9800000000075,-81.7939357419778
64.9900000000075,-83.0914050269416
65.0000000000075,-84.404825272269
65.0100000000075,-85.7560900399928
65.0200000000075,-87.0982428683026
65.0300000000075,-88.4151780985193
65.0400000000075,-89.6934197028687
65.0500000000075,-91.2062113230222
65.0600000000075,-92.6834301409302
65.0700000000075,-94.0549464850254
65.0800000000075,-95.2403646830774
65.0900000000075,-95.93674443584
65.1000000000075,-97.3090056373638
65.1100000000075,-98.9869684823896
65.1200000000075,-100.681753329812
65.1300000000074,-102.196788237199
65.1400000000074,-103.316917790433
65.1500000000074,-104.68695621034
65.1600000000074,-106.047334523368
65.1700000000074,-107.316431899443
65.1800000000074,-108.500390522887
65.1900000000074,-109.700829368575
65.2000000000074,-110.777980867419
65.2100000000074,-111.848006497917
65.2200000000074,-112.886038559076
65.2300000000074,-113.91087302671
65.2400000000074,-115.000172257546
65.2500000000074,-116.18624574605
65.2600000000074,-117.385778711743
65.2700000000074,-118.539112854182
65.2800000000074,-119.580486786353
65.2900000000074,-120.455700491823
65.3000000000074,-121.553109920269
65.3100000000074,-122.686098134039
65.3200000000074,-123.80904796177
65.3300000000074,-124.850925500702
65.3400000000074,-125.769665201875
65.3500000000074,-126.86368490597
65.3600000000074,-128.016328525224
65.3700000000074,-129.159625331438
65.3800000000073,-130.263202137967
65.3900000000073,-131.359832578157
65.4000000000073,-132.517725832099
65.4100000000073,-133.649920366846
65.4200000000073,-134.727779635085
65.4300000000073,-135.688196837519
65.4400000000073,-136.814596949206
65.4500000000073,-138.302288242764
65.4600000000073,-139.869569846138
65.4700000000073,-141.367964294803
65.4800000000073,-141.934570678418
65.4900000000073,-141.999716381377
65.5000000000073,-143.4984756817
65.5100000000073,-145.058528879927
65.5200000000073,-146.500174132996
65.5300000000073,-147.621109432836
65.5400000000073,-148.481467360662
65.5500000000073,-149.494154146412
65.5600000000073,-150.610353413336
65.5700000000073,-151.767906950753
65.5800000000073,-153.01781809644
65.5900000000073,-154.174973862045
65.6000000000073,-155.175502570962
65.6100000000073,-156.204998984749
65.6200000000073,-157.370109131111
65.6300000000073,-158.542552261021
65.6400000000072,-159.957198963093
65.6500000000072,-161.508751195388
65.6600000000072,-162.983137301101
65.6700000000072,-164.247322751154
65.6800000000072,-165.132487415606
65.6900000000072,-165.955429039177
65.7000000000072,-166.913839953284
65.7100000000072,-167.896902860215
65.7200000000072,-168.85396516598
65.7300000000072,-169.73655158932
65.7400000000072,-170.680594211792
65.7500000000072,-171.817781989877
65.7600000000072,-172.9504005684
65.7700000000072,-173.996637008733
65.7800000000072,-175.006905791555
65.7900000000072,-176.029582369608
65.8000000000072,-177.051855477628
65.8100000000072,-178.027914661749
65.8200000000072,-178.936901169843
65.8300000000072,-179.825464064323
65.8400000000072,-180.858543465581
65.8500000000072,-181.97412848002
65.8600000000072,-183.06295167746
65.8700000000072,-184.041896609116
65.8800000000072,-184.230702498617
65.8900000000072,-184.835349157646
65.9000000000071,-185.819500145186
65.9100000000071,-186.824971948901
65.9200000000071,-187.751796982165
65.9300000000071,-188.522850801393
65.9400000000071,-189.177916044991
65.9500000000071,-189.909343129943
65.9600000000071,-190.717014993565
65.9700000000071,-191.510451021994
65.9800000000071,-192.361760914514
65.9900000000071,-193.017684224143
66.0000000000071,-193.666996984931
66.0100000000071,-194.371841327881
66.0200000000071,-195.114517975073
66.0300000000071,-195.767514874624
66.0400000000071,-196.379851208858
66.0500000000071,-196.925052669321
66.0600000000071,-197.419802166376
66.0700000000071,-197.893459666071
66.0800000000071,-198.516407576704
66.0900000000071,-198.815809491144
66.1000000000071,-199.081847197018
66.1100000000071,-199.408009989231
66.1200000000071,-199.818713842184
66.1300000000071,-200.515423609948
66.1400000000071,-200.985380401721
66.1500000000071,-201.359727656797
66.160000000007,-201.685255346735
66.170000000007,-202.000790583515
66.180000000007,-202.551558977114
66.190000000007,-202.890910843352
66.200000000007,-203.209238347606
66.210000000007,-203.517015685107
66.220000000007,-203.805820664006
66.230000000007,-204.07930143239
