Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
1.28,50.78399426,51.85415331,53.14075817,54.78027692,56.29328785,58.20929946,60.65610207,62.7893319,66.4795558,71.51871677,76.46670355,85.60312175,100.738403
1.29,51.13509171,52.24223907,53.57164209,55.23436172,56.75984701,58.70661596,61.17078737,63.58236862,67.31304692,72.35200255,77.1876778,86.41419631,101.6203949
1.3,51.48385247,52.62855147,54.01271669,55.68904972,57.22271452,59.19741473,61.6848564,64.40113842,68.16837095,73.19183993,77.92241363,87.22952827,102.4922251
1.31,51.8301733,53.02055861,54.44590719,56.15262241,57.69082855,59.70264808,62.21294146,65.22206453,69.02945775,74.0488634,78.67210546,88.03489785,103.3388567
1.32,52.33773492,53.53530553,54.97331806,56.69666257,58.24003052,60.26989594,62.79121549,66.01547142,69.85953881,74.9254556,79.41952179,88.83523643,104.2097175
1.33,53.02493551,54.20594671,55.6171258,57.33202433,58.88032196,60.89582802,63.41570657,66.76039808,70.62968518,75.80212934,80.13848849,89.62906658,105.1173042
1.34,53.69116707,54.85598916,56.23926093,57.95751175,59.50730051,61.52086665,64.04350191,67.48290398,71.3844307,76.67105309,80.86319429,90.40910665,105.9926622
1.35,54.35144401,55.50364412,56.86027387,58.57651505,60.1253306,62.14124507,64.67063513,68.21624641,72.15495312,77.52636133,81.59832182,91.19654702,106.8529203
1.36,55.02007415,56.16165209,57.49572414,59.19431117,60.74089693,62.7599232,65.29678518,68.9810101,72.95640552,78.36530175,82.34600947,92.00911363,107.7154083
1.37,55.70719848,56.83643597,58.15170974,59.82415671,61.36488798,63.38815333,65.92754655,69.779377,73.77981726,79.19393094,83.10622359,92.84129841,108.5805093
1.38,56.35805144,57.47825359,58.77919925,60.45778837,61.97311059,64.00905294,66.55248319,70.5759424,74.60273809,80.01427555,83.85573876,93.65651769,109.4447115
1.39,57.02460108,58.13091882,59.420835,61.11252143,62.60478887,64.65003623,67.19439983,71.37062764,75.42076459,80.83775437,84.62023623,94.47316281,110.2979835
1.4,57.70822268,58.79709514,60.07656743,61.77566482,63.25628587,65.30627248,67.85180436,72.14890044,76.22645278,81.66355756,85.39240047,95.29091315,111.1408011
1.41,58.41172356,59.48285059,60.74916052,62.44077545,63.92195694,65.97108843,68.51947125,72.90773814,77.01613591,82.48119233,86.16345738,96.11105233,111.9779287
1.42,59.14050251,60.19354703,61.44194425,63.11016809,64.60007808,66.6426267,69.20445303,73.66433163,77.78927435,83.28247266,86.92900614,96.9327019,112.812571
1.43,59.84853808,60.89085555,62.13085221,63.79510344,65.28575775,67.32658238,69.90233156,74.41299994,78.55583196,84.0746897,87.69402298,97.74818175,113.6472665
1.44,60.52240969,61.56214818,62.80732444,64.4663491,65.98070641,68.02500775,70.61716573,75.15579235,79.31189507,84.8592364,88.46038703,98.55300888,114.4729609
1.45,61.21698372,62.25481437,63.50288577,65.14254677,66.68812689,68.72927194,71.34080415,75.8827307,80.05459513,85.62595804,89.22467291,99.36114334,115.2994904
1.46,61.93134496,62.97080655,64.22062255,65.81645357,67.40548253,69.43857189,72.07208983,76.60828885,80.79539961,86.37780717,89.99084146,100.1773682,116.1259429
